task1,task2,seed,mode,lr,steps,eps,warmup_steps,lambda_kl,task1_success_rate,task2_success_rate,avg_success_rate,harmonic_mean_success_rate,auc_task1,auc_task2,avg_auc
1,3,42,self_check,2.5e-05,200,1.0,0,1.0,0.1,0.2,0.15,0.1333,0.25,0.485,0.3675
1,3,42,self_check,2.5e-05,200,1.0,0,0.5,0.1,0.3,0.2,0.15,0.34,0.515,0.4275
1,3,42,self_check,5e-05,200,1.0,0,1.0,0.2,0.4,0.3,0.2667,0.22,0.21,0.215
1,3,42,self_check,5e-05,200,1.0,0,0.5,0.1,0.2,0.15,0.1333,0.19,0.24,0.215
3,1,42,self_check,2.5e-05,200,1.0,0,1.0,0.8,0.0,0.4,0.0,0.98,0.06,0.52
3,1,42,self_check,2.5e-05,200,1.0,0,0.5,0.9,0.0,0.45,0.0,0.995,0.04,0.5175
3,1,42,self_check,5e-05,200,1.0,0,1.0,0.0,0.0,0.0,0.0,0.055,0.01,0.0325
3,1,42,self_check,5e-05,200,1.0,0,0.5,0.0,0.0,0.0,0.0,0.04,0.01,0.025
4,5,42,self_check,2.5e-05,200,1.0,0,1.0,0.4,0.3,0.35,0.3429,0.685,0.245,0.465
4,5,42,self_check,2.5e-05,200,1.0,0,0.5,0.5,0.2,0.35,0.2857,0.755,0.285,0.52
4,5,42,self_check,5e-05,200,1.0,0,1.0,0.0,0.0,0.0,0.0,0.09,0.0,0.045
4,5,42,self_check,5e-05,200,1.0,0,0.5,0.0,0.0,0.0,0.0,0.05,0.02,0.035
5,4,42,self_check,2.5e-05,200,1.0,0,1.0,0.9,0.5,0.7,0.6429,0.705,0.365,0.535
5,4,42,self_check,2.5e-05,200,1.0,0,0.5,1.0,0.2,0.6,0.3333,0.75,0.325,0.5375
5,4,42,self_check,5e-05,200,1.0,0,1.0,0.0,0.1,0.05,0.0,0.1,0.055,0.0775
5,4,42,self_check,5e-05,200,1.0,0,0.5,0.1,0.1,0.1,0.1,0.075,0.055,0.065
6,7,42,self_check,2.5e-05,200,1.0,0,1.0,0.0,0.7,0.35,0.0,0.0,0.695,0.3475
6,7,42,self_check,2.5e-05,200,1.0,0,0.5,0.0,0.7,0.35,0.0,0.005,0.665,0.335
6,7,42,self_check,5e-05,200,1.0,0,1.0,0.0,0.2,0.1,0.0,0.0,0.46,0.23
6,7,42,self_check,5e-05,200,1.0,0,0.5,0.0,0.1,0.05,0.0,0.0,0.465,0.2325
7,6,42,self_check,2.5e-05,200,1.0,0,1.0,0.2,0.0,0.1,0.0,0.3,0.0,0.15
7,6,42,self_check,2.5e-05,200,1.0,0,0.5,0.1,0.0,0.05,0.0,0.295,0.0,0.1475
7,6,42,self_check,5e-05,200,1.0,0,1.0,0.6,0.0,0.3,0.0,0.755,0.01,0.3825
7,6,42,self_check,5e-05,200,1.0,0,0.5,0.5,0.0,0.25,0.0,0.655,0.04,0.3475
